Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
,,,1358,NASSER D M,9.0,12.0,5.0,1.0,6.0,,,,,,4.0,37
,,,1359,NASSER D M,15.0,9.0,2.0,1.0,8.0,,,,,1.0,2.0,38
,,,1360,NASSER D M,14.0,9.0,5.0,1.0,3.0,,,,,,4.0,36
,,BUS     6,1361,ROBERTS C E,7.0,5.0,3.0,1.0,1.0,,,,,,2.0,19
,,BUS     7,1362,ROCKWELL C,11.0,7.0,4.0,1.0,2.0,1.0,,,,,2.0,28
,,BUS     7B,1363,CHARLES V H,10.0,3.0,,,13.0,1.0,,,,,6.0,33
,,BUS     8,1364,KHALIL N,11.0,12.0,7.0,1.0,2.0,1.0,,,,,5.0,39
,,BUS     9,1365,KHALIL N,6.0,6.0,3.0,2.0,1.0,,,,,,7.0,25
,,BUS    11,1366,MARGOLIS D L,11.0,5.0,1.0,1.0,6.0,,,,,,4.0,28
,,BUS    15,1367,COMBS G E,6.0,2.0,,,7.0,,1.0,,,,1.0,17
,,BUS    16,1368,COMBS G E,10.0,7.0,3.0,,3.0,1.0,,,,,7.0,31
,,BUS    20,1369,KELLY MARCELLA A,15.0,2.0,5.0,,9.0,1.0,,,,,1.0,33
,,,1370,JUNG D,22.0,,2.0,2.0,2.0,,,,,,13.0,41
,,,1372,SEDKY S M,23.0,7.0,6.0,,3.0,,,,,,5.0,44
,,,1373,SEDKY S M,13.0,7.0,4.0,,7.0,,,,,,7.0,38
,,,1374,SEDKY S M,17.0,5.0,1.0,,5.0,,,,,,3.0,31
,,BUS    21,1375,IVAS L,20.0,6.0,1.0,,4.0,,,,,,3.0,34
,,BUS    22,4031,ADELMAN A,19.0,5.0,1.0,,2.0,,,3.0,,,8.0,38
,,BUS    23,1376,PACCIORETTI T S,16.0,10.0,2.0,2.0,13.0,,,,,,3.0,46
,,,4032,PACCIORETTI T S,13.0,5.0,1.0,2.0,8.0,2.0,,,,,4.0,35
,,BUS    26,1377,COPLEN J S,12.0,8.0,1.0,1.0,2.0,,,,,,5.0,29
,,BUS    27,1378,COPLEN J S,16.0,6.0,3.0,,2.0,,,,,,5.0,32
,,,4322,ALEXANDER J S,6.0,3.0,2.0,2.0,7.0,,,,,1.0,6.0,27
,,BUS    28,1380,COPLEN J S,30.0,4.0,1.0,,1.0,1.0,,,,1.0,2.0,40
,,,4033,WILLIAMS AY,19.0,1.0,,,,,,,,,4.0,24
,,BUS    31,1381,SANTILLANES A,,3.0,9.0,3.0,5.0,1.0,,,,,3.0,24
,,BUS    32,1382,WELTON M,11.0,5.0,2.0,2.0,2.0,,,,,,7.0,29
,,,1383,WELTON M,13.0,2.0,6.0,1.0,,,,,,,6.0,28
,,,1384,JUNG D,9.0,3.0,1.0,,,,,,,,7.0,20
,,,1385,PAIK R,3.0,9.0,4.0,1.0,9.0,,,,,,1.0,27
,,,1386,SOUCY S H,14.0,3.0,5.0,,1.0,1.0,,,,,2.0,26
,,,1387,SOUCY S H,11.0,5.0,3.0,2.0,1.0,,,,,,2.0,24
,,,1388,ALEXANDER J S,7.0,7.0,4.0,2.0,2.0,1.0,,,,,1.0,24
,,,3580,MUMBA A I,14.0,3.0,3.0,1.0,4.0,,,,,,,25
,,,3683,JUNG D,2.0,,,,3.0,,,,,1.0,7.0,13
,,BUS    34A,1389,ROTHAUPT B L,28.0,2.0,,,,1.0,,,,,6.0,37
,,,1390,ROTHAUPT B L,28.0,2.0,1.0,,2.0,,,,,,6.0,39
,,,1391,ROTHAUPT B L,20.0,6.0,2.0,,2.0,,,,,,4.0,34
,,BUS    34B,3506,ROTHAUPT B L,12.0,,,,,,,,,,,12
,,,3507,ROTHAUPT B L,3.0,3.0,,,,1.0,,,,,1.0,8
,,BUS    35,1392,ROTHAUPT B L,16.0,3.0,,,,1.0,,,,,1.0,21
,,BUS    36A,1393,RODRIGUEZ K P,31.0,2.0,,,2.0,1.0,,,,,1.0,37
,,BUS    37,4036,CONLEY T,7.0,4.0,1.0,1.0,5.0,,1.0,1.0,,,11.0,31
,,BUS    45,1394,MACIAS J F,9.0,4.0,2.0,,1.0,,,,,,2.0,18
,,,1395,LAMARRA F,9.0,1.0,3.0,,2.0,,,1.0,,,3.0,19
,,,1396,RESNICK W J,14.0,4.0,,2.0,1.0,,,,,,1.0,22
,,,1397,RESNICK W J,12.0,3.0,1.0,2.0,1.0,,,,,,4.0,23
,,,1398,RESNICK W J,19.0,7.0,1.0,1.0,1.0,,,,,,3.0,32
,,,1399,ARAKELIAN A,7.0,4.0,4.0,1.0,3.0,,,,,,1.0,20
,,,1400,ARAKELIAN A,13.0,2.0,2.0,1.0,1.0,,,,,,4.0,23
,,,1401,ARAKELIAN A,8.0,2.0,1.0,1.0,3.0,,,,,,,15
,,BUS    46,1402,SHISHIDO K M,13.0,2.0,1.0,2.0,4.0,,1.0,,,,5.0,28
,,,4037,SENKO E A,5.0,6.0,3.0,1.0,4.0,,,1.0,,,2.0,22
,,BUS    47,1403,LU M,9.0,,1.0,1.0,,1.0,,,,,3.0,15
,,,1405,RESNICK W J,12.0,1.0,2.0,,,,,,,,2.0,17
,,,1406,RESNICK W J,11.0,2.0,2.0,,,,1.0,,,,,16
,,,1407,RESNICK W J,6.0,1.0,,,2.0,,,,,,2.0,11
,,BUS    51,1408,SOUCY S H,9.0,9.0,4.0,,4.0,,,,,,5.0,31
,,BUS    53,1409,RODRIGUEZ K P,8.0,2.0,,,1.0,,,,,,4.0,15
,,BUS    55,1410,EVERETT K M,19.0,2.0,,1.0,6.0,1.0,1.0,,,,8.0,38
,,BUS    59,1411,PACCIORETTI T S,8.0,,,,1.0,,,,,,15.0,24
,,BUS    62,1412,ROCKWELL C,10.0,6.0,,2.0,3.0,,,,,,6.0,27
,,BUS    63,1413,PACCIORETTI T S,18.0,5.0,4.0,,8.0,,,1.0,,,3.0,39
,,,1414,CLAUSEN A I,4.0,7.0,6.0,3.0,2.0,,,,,,6.0,28
,,,1415,PACCIORETTI T S,7.0,5.0,2.0,1.0,19.0,1.0,,1.0,,,3.0,39
,,BUS    65,1416,ROCKWELL C,19.0,2.0,3.0,2.0,4.0,,,,,,2.0,32
,,BUS    76,1417,HUNTER R T,21.0,3.0,2.0,,3.0,,,,,,3.0,32
,,,3581,HUNTER R T,7.0,3.0,,2.0,4.0,,,1.0,,,1.0,18
,,BUS    80,1418,RODRIGUEZ K P,20.0,,,,1.0,,,,,,3.0,24
,,BUS    82,3617,EVERETT K M,15.0,,,2.0,1.0,,,,,,1.0,19
