Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,ART    30B,1214,AARONS R R,2,,,,1,,,,,,2,,5
,,,3380,AARONS R R,5,,,,,,,,,,1,,6
,,ART    30C,1215,OTA N T,8,2,,,3,,1,,,,7,,21
,,ART    31,1217,TRUJILLO M E,17,5,2,,2,,,,,,2,,28
,,,1218,ZARCONE J,6,2,1,1,1,1,,,,,2,,14

,,,3386,HATTON C,5,2,1,1,6,,1,,,,3,,19
,,,3493,CHOW P,8,,,,1,1,2,,,,2,,14
,,ART    32,3332,ZARCONE J,3,,,,2,,,,,,1,,6
,,,3387,HATTON C,6,,,,,,,,,,2,,8
,,,3494,CHOW P,1,,,,,,,,,,,,1
,,ART    34A,1220,BADGER C P,14,3,1,,2,,,1,,,3,,24
,,ART    40A,1221,SILVER E M,11,2,,,1,,,,,,,,14
,,,1222,SILVER E M,11,2,1,,1,,,,,,,,15
,,ART    40B,1223,SILVER E M,,,1,,,,,,,,,,1
,,,1224,SILVER E M,4,1,,,,2,,,,,,,7
,,ART    41A,1225,SIMON D L,6,,,,,,,,,,4,,10
,,ART    41B,1226,SIMON D L,1,,,,,,,,,,,,1
,,ART    43A,1227,BROMBERG T L,19,,,,,,,,,,2,,21
,,ART    43B,1228,BROMBERG T L,3,,,,,,,,,,1,,4
,,ART    52A,1229,GONZALES L,15,3,,,,1,,,,,1,1,21
,,,1230,FRANTZ R,7,1,,,1,,,,,,1,,10
,,,1231,FRANTZ R,15,,,,1,,,,,,2,,18
,,,1232,GONZALES L,18,,,,,1,,,,,3,,22
,,,3392,JERVIS D,8,1,,,1,2,,,,,,,12
,,,3395,JERVIS D,4,,,,,,,,,,,,4
,,,4021,GONZALES L,14,2,,1,1,1,,,,,,,19
,,ART    52B,1233,FRANTZ R,14,,,,,,,,,,1,,15
,,,3393,JERVIS D,6,,,,,,,,,,,,6
,,,3396,JERVIS D,9,,,,,1,,,,,2,,12
,,,3479,FRANTZ R,4,,,,,,,,,,,,4
,,,4292,GONZALES L,3,1,,,,1,1,,,,1,,7
,,ART    52C,3394,JERVIS D,3,,,,,,,,,,,,3
,,,3397,JERVIS D,4,,,,,1,,,,,,,5
,,ART    60,4022,THOMASON M M,15,3,,,,,,,,,,,18
,,ART    60B,3344,JAMES N M,3,,,1,,,1,,,,4,,9
,,ART    62,4302,THOMASON M M,9,,,,2,,,,,,1,,12
,,ART    74,3301,BADGER C P,5,,,,4,,,,,,4,,13
,,ART    75,1235,PITURRO D,7,3,,,2,,,,,,2,,14
,ARTS,ARTS   88A,1238,MEYER W J,1,2,,,,1,,,,,,,4

,PHOTO,PHOTO  52,2993,DASTIN E R,22,7,3,,1,,,,,,1,,34
Kinesiology and Athletics,VAR PE,VAR PE 11B,3233,MOSICH N W,5,,,,,,,1,,,,,6
,,,3234,MOSICH N W,11,,,,,,,,,,,,11
,,,3235,MOSICH N W,9,,,,,1,,,,,1,,11
,,,3236,MOSICH N W,14,2,,,,,,,,,1,,17
,,VAR PE 20V,3365,LEDWITH K F,19,,,,,,,,,,,,19
,,,4287,LEDWITH K F,23,,,,1,,,,,,2,,26
,,VAR PE 45W,3238,DRUCKMAN C J,12,,,,,,,,,,1,,13
,,VAR PE 48V,3239,ESKRIDGE B M,15,,,,,,,,,,,,15
,,VAR PE 48W,3240,ESKRIDGE B M,18,,,,,,,,,,1,,19
,,VAR PE 54W,3241,GOLDENSON R M,7,,,,,1,,,,,,,8
,,VAR PE 56V,3242,SILVA L,16,,2,,,,,,,,1,,19
,,VAR PE 56W,3243,SILVA L,6,,1,,,,,,,,1,,8
,,VAR PE 57V,3244,ZAMIR L,18,1,,,,,,,,,1,,20
,,VAR PE 59W,3245,OWENS K,6,,,,,,,,,,1,,7
,,VAR PE 60,3246,PIERCE T L,7,,,,,,,,,,1,,8
,,,3247,STRONG L M,1,,,,,,,,,,1,,2
,,,3248,BARRON E A,,,,,,,,,,,1,,1
,,,3270,BENDITSON A,4,,,,,,,,,,,,4
,,,3366,LEDWITH K F,1,,,,,,,,,,,,1
,,,3457,MOSICH N W,2,,,,,,,,,,,,2
,,,4288,THOMAS J L,4,,,,,,,,,,,,4
Business,ACCTG,ACCTG   1,1001,PLATZ W A,3,7,4,,3,,,,,,4,,21
,,,1002,PLATZ W A,4,3,3,1,8,,,,,,5,,24
,,,1005,BROOKINS G T,4,6,3,1,5,,,,,,17,,36
,,,1006,KNIGHT R B,13,4,1,,4,,,,,,4,,26
,,,1007,LOPEZ EN,31,11,6,2,2,,,,,,2,,54
,,,1008,TRIPPETTI V J,8,2,5,1,2,,,,,,4,,22
,,,1009,FITZGERALD R L,7,6,5,1,,1,,,,,3,,23
,,,1010,FITZGERALD R L,5,9,3,,,,,1,,,7,,25
,,,1011,ANDRE J M,13,10,6,,,,,,,,7,,36
,,,1012,ANDRE J M,9,9,5,1,1,,,,,,9,,34
,,,1013,BROOKINS G T,17,7,4,2,2,,,,,,7,,39
,,,1014,BROOKINS G T,24,5,2,1,,,,,,,5,,37

,,,1015,HAIG J S,13,11,3,1,4,,,,,,3,,35
,,,1016,HAIG J S,11,9,6,1,,1,,1,,,2,,31
,,,3407,KNIGHT R B,9,5,6,3,1,,,,,,20,,44
,,,3497,ARAKELIAN A,10,5,3,,5,2,1,,,,10,,36
,,ACCTG   2,1017,BROOKINS G T,7,8,2,,1,,,,,,4,,22
,,,1018,TRIPPETTI V J,5,2,1,,3,,3,,,,4,,18
,,,1019,STEINBERGER E K,21,13,1,3,2,,,,,,3,,43
,,,1020,LOPEZ EN,33,11,4,1,,,,,,,,,49
,,,1021,HUANG AI M,32,7,3,,1,,,,,,1,,44
,,,1022,LU M,7,8,3,,,,,,,,3,,21
,,,1024,LU M,12,17,4,,1,,,,,,3,,37
,,,1025,HUANG AI M,27,10,4,1,,,,,,,1,,43
,,,1026,HUANG AI M,28,8,2,2,3,,,,,,1,,44
,,,1027,RUBIO C,12,10,8,1,1,,,,,,7,,39
,,,1028,DANIEL C,7,6,8,1,3,,,,,,3,,28
,,,1029,DANIEL C,6,2,5,1,8,,,,,,3,,25
,,ACCTG   6,1030,HANSON M P,6,7,,,,1,,,,,4,,18
,,ACCTG   7,1031,HANSON M P,5,2,1,,,,1,,,,4,,13
,,ACCTG   9,1032,HUANG AI M,16,4,1,,1,,,,,,3,,25
,,,1033,KIM J S,18,8,1,1,2,1,,,,,7,,38
,,ACCTG  10A,1034,LU M,6,3,1,1,1,,,,,,2,,14
,,,1035,LU M,8,5,2,1,1,1,,,,,1,,19
,,ACCTG  10B,1036,LU M,8,6,2,,1,,,,,,5,,22
,,,1037,KIM J S,6,4,3,,3,1,,,,,2,,19
,,ACCTG  10C,1038,HANSON M P,16,6,1,,,,1,,,,2,,26
,,ACCTG  12,1039,STEINBERGER E K,20,3,1,,,,,,,,5,,29
,,,1040,STEINBERGER E K,12,7,1,,2,,,,,,3,,25
,,ACCTG  15,1041,RUBIO C,3,5,4,1,2,1,2,,,,8,,26
,,,1042,RUBIO C,5,3,6,,2,,,,,,9,,25
,,ACCTG  16,1043,RUBIO C,9,5,1,3,,2,,,,,3,,23
,,,3362,RUBIO C,3,6,,,1,1,,,,,4,,15
,,ACCTG  19A,1044,RUBIO C,12,,,,,,,,,,,,12
,,ACCTG  21,1045,RESNICK W J,13,2,3,3,1,,,,,,10,,32
,,,1046,RESNICK W J,22,,,1,,,,,,,12,,35

,,,1047,RESNICK W J,11,5,4,,1,1,1,,,,6,,29
,,ACCTG  22,1048,LOPEZ EN,8,5,2,2,1,1,,,,,1,,20
,,ACCTG  23,1049,LOPEZ EN,14,10,7,,2,1,,,,,4,,38
,,ACCTG  31A,1050,VALDIVIA O,21,4,4,,3,,,,,,5,,37
,,ACCTG  31B,1051,VALDIVIA O,14,1,1,,2,2,2,,,,5,,27
,,ACCTG  45,1052,MACIAS J F,6,3,1,,2,,,,,,,,12
,,,1053,RESNICK W J,6,1,1,,2,,,,,,5,,15
,,,1054,MAIER L S,3,,2,,,,,,,,,,5
,,,1055,RESNICK W J,4,1,1,,,,,,,,1,,7
,,,1056,RESNICK W J,2,1,,,,,,,,,,,3
,,,1057,MAIER L S,2,3,1,1,1,,,,,,2,,10
,,,1058,MAIER L S,6,3,3,,1,,,,,,,,13
,,,1059,ARAKELIAN A,4,3,,,,,,,,,2,,9
,AD JUS,AD JUS  1,1063,KHALIL N,10,8,5,1,3,,,,,,3,1,31
,,,1064,ROBERTS C E,6,10,4,,3,,,,,,1,,24
,,,3440,KHALIL N,5,13,4,1,2,,,,,,8,,33
,,,4002,POLIN M W,32,3,1,,2,,,,,,3,,41
,,AD JUS  2,1068,JUNGHAHN L A,13,7,4,,5,1,,,,,2,,32
,,,3445,KHALIL N,10,9,5,6,,,1,,,,6,,37
,,AD JUS  3,1069,SMITH DEBORAH R,7,17,2,4,3,,,,,,5,,38
,,AD JUS  5,4004,DARDEN C A,9,2,2,1,1,,,,,,1,,16
,,AD JUS  8,1070,SMITH DEBORAH R,15,4,1,,2,,,,,,5,,27
,,AD JUS 11,1071,GAU C K,20,12,4,,1,,,1,,,3,,41
,,AD JUS 67,1072,GAU C K,5,7,3,1,1,1,,1,,,7,,26
,AUTO,AUTO   46,4025,OATES S M,5,3,4,2,1,1,,,,,,,16
,,AUTO   47,4026,OATES S M,4,6,6,1,3,1,1,1,,,,,23
,BCYCLE,BCYCLE 901,7074,PARSONS T J,,,,,,17,2,,,,4,,23
,,BCYCLE 902,7075,PARSONS T J,,,,,,10,3,,,,2,,15
,BUS,BUS     1,1307,MACIAS J F,22,9,3,3,1,1,,,,,2,,41
,,,1308,ROPER-CONLEY C,5,7,,1,13,,,3,,,9,,38
,,,1309,KELLY MARCELLA A,24,7,3,1,4,,,,,,3,,42
,,,1310,SENKO E A,28,1,,,6,,,,,,2,,37
,,,1311,ROPER-CONLEY C,4,4,4,1,17,,1,2,,,3,,36
,,,1312,SENKO E A,15,5,,3,12,,,,,,7,,42

,,,1313,ROPER-CONLEY C,3,3,1,1,6,,,1,,,6,,21
,,,1314,PAIK R,12,10,1,,9,,,,,,6,,38
,,,1315,EVERETT K M,29,3,2,1,4,,,,,,6,,45
,,,1316,SEDKY S M,24,6,4,1,1,,,,,,2,,38
,,,1317,SEDKY S M,20,2,6,1,3,,,,,,3,,35
,,,1318,SEDKY S M,21,3,2,,3,1,,,,,3,,33
,,,1319,VEAS S,39,,,,2,,,,,,2,,43
,,,1320,VEAS S,31,1,1,1,1,,,1,,,2,,38
,,,1321,PAIK R,3,5,1,3,13,,2,,,,2,,29
,,,1323,SHISHIDO K M,18,4,3,,5,,,,,,7,,37
,,,1324,SHISHIDO K M,15,5,3,4,5,,,,,,7,,39
,,,1325,EVERETT K M,17,4,4,1,5,,,,,,7,,38
,,,1326,VEAS S,26,8,,1,4,1,1,1,,,3,,45
,,,1327,VEAS S,23,4,1,2,4,1,,,,,3,,38
,,,4031,OLIVERI J S,13,2,2,1,9,,,,,,4,,31
,,BUS     5,1328,RADOS-CLOKE A,4,9,8,2,1,,,,,,7,,31
,,,1329,RADOS-CLOKE A,10,11,5,3,6,1,1,,,,5,,42
,,,1330,NASSER D M,12,8,4,1,6,,,,,,1,,32
,,,1331,RADOS-CLOKE A,6,17,7,1,2,,,,,,7,,40
,,,1332,NASSER D M,5,6,1,3,3,,,,,,2,,20
,,,1334,NASSER D M,18,10,7,1,2,,,,,,1,,39
,,,1335,NASSER D M,15,16,6,,3,,,,,,1,,41
,,,1336,NASSER D M,15,13,4,,3,,,,,,3,,38
,,,1337,KLUGMAN E B,7,2,5,1,4,,,,,,10,,29
,,,1338,KLUGMAN E B,7,6,4,5,3,1,,,,,7,,33
,,,1339,KLUGMAN E B,5,12,3,1,9,2,,,,,3,,35
,,,3498,ROBERTS C E,11,1,3,1,6,,,,,,2,,24
,,BUS     6,1341,ROBERTS C E,8,4,4,1,3,1,,,,,1,,22
,,BUS     8,1342,KHALIL N,7,5,4,1,4,2,,,,,6,,29
,,BUS     9,1343,KHALIL N,6,8,7,,2,1,,,,,8,,32
,,BUS    14A,1344,ROCKWELL C,12,6,4,3,8,1,,,,,6,,40
,,BUS    17,1345,COMBS G E,4,2,3,,5,,,,,,2,,16
,,BUS    18,1346,COMBS G E,2,3,1,5,4,1,,,,,3,,19
,,BUS    20,1347,KELLY MARCELLA A,22,3,2,1,9,,,,,,3,,40

,,,1348,ALEXANDER J S,9,7,4,1,1,,,,,,4,,26
,,,1349,JUNG D,5,2,5,,4,,,,,,9,,25
,,,1350,SEDKY S M,22,7,1,2,2,,,,,,7,,41
,,,1351,SEDKY S M,25,4,3,,4,,,,,,4,,40
,,,1352,SEDKY S M,22,8,1,1,4,,,,,,,,36
,,,4032,OLIVERI J S,13,5,4,1,6,,1,,,,3,,33
,,BUS    21,1353,IVAS L,22,6,2,,7,,1,,,,2,,40
,,BUS    22,1354,COPLEN J S,15,11,4,,2,,,,,,6,,38
,,BUS    23,1355,PACCIORETTI T S,10,9,6,3,11,,,,,,5,,44
,,,4033,PACCIORETTI T S,16,7,6,4,4,,,,,,3,,40
,,BUS    26,1356,COPLEN J S,20,7,4,,1,1,,,,,10,,43
,,BUS    27,1357,COPLEN J S,16,5,4,1,2,2,,,,,10,,40
,,BUS    28,4034,ADELMAN A,15,8,1,,2,,,,,,3,,29
,,BUS    31,1358,SANTILLANES A,,10,9,2,4,,,,,,5,,30
,,BUS    32,1359,WELTON M,12,,2,,1,,,,,,4,,19
,,,1360,WELTON M,19,1,,2,,,,,,,2,,24
,,,1361,PAIK R,11,6,3,,5,,,,,,2,,27
,,,1362,JUNG D,8,3,1,1,1,,1,,,,4,,19
,,,1363,SOUCY S H,12,3,3,1,3,,1,,,,4,,27
,,,1364,SOUCY S H,12,6,5,,3,,,,,,2,,28
,,,1365,ALEXANDER J S,12,5,6,,2,,,,,,2,,27
,,BUS    34A,1366,ROTHAUPT B L,29,2,2,,,,,,,,4,,37
,,,1367,ROTHAUPT B L,26,6,,1,,,,,,,,,33
,,,1368,ROTHAUPT B L,25,4,,,,1,,,,,5,,35
,,,4037,WILLIAMS AY,18,2,,,,,,,,,1,,21
,,BUS    34B,3278,ROTHAUPT B L,11,,,,1,,,,,,1,,13
,,,3398,ROTHAUPT B L,11,,,,2,,,,,,,,13
,,BUS    35,1369,ROTHAUPT B L,16,2,,,2,,,,,,1,,21
,,BUS    36A,1370,RODRIGUEZ K P,24,4,,1,6,,,,,,,,35
,,BUS    37,4038,CONLEY T,5,4,,,,,,2,,,12,,23
,,BUS    45,1371,MACIAS J F,3,6,,1,5,,1,,,,1,,17
,,,1372,RESNICK W J,14,5,3,1,3,,,,,,4,,30
,,,1373,MAIER L S,12,6,2,1,4,,,,,,3,,28
,,,1374,RESNICK W J,20,1,2,,1,,,,,,3,,27

,,,1375,RESNICK W J,20,4,3,1,1,,,,,,3,,32
,,,1376,MAIER L S,13,4,4,1,1,,,,,,4,,27
,,,1377,MAIER L S,6,3,3,1,,,,,,,3,,16
,,,1378,ARAKELIAN A,13,1,3,,1,,,,,,5,,23
,,BUS    46,1379,SHISHIDO K M,18,1,1,1,3,1,3,,,,8,,36
,,,4040,SENKO E A,6,6,1,,4,1,,,,,6,,24
,,BUS    47,1380,LU M,6,,1,,,,,,,,,,7
,,,1381,LU M,5,,2,,,,,,,,3,,10
,,,1382,RESNICK W J,8,,,,,,,,,,,,8
,,,1383,RESNICK W J,6,2,,,1,,,,,,2,,11
,,,1384,RESNICK W J,6,1,1,,1,,,,,,1,,10
,,BUS    51,1385,SOUCY S H,11,8,1,,1,,1,,,,,,22
,,BUS    52,1386,RODRIGUEZ K P,21,5,2,,6,,,,,,2,,36
,,BUS    53,1387,RODRIGUEZ K P,18,1,,1,3,1,,,,,3,,27
,,BUS    55,1388,EVERETT K M,7,,,2,1,,1,,,,6,,17
,,BUS    59,1389,PACCIORETTI T S,18,,,,1,,,,,,16,,35
,,BUS    62,1390,ROCKWELL C,6,4,2,,1,,,,,,4,,17
,,BUS    63,1391,PACCIORETTI T S,24,4,4,,10,,,1,,,1,,44
,,,3360,MIKOLAJCZAK M,7,11,2,1,,,,,,,5,,26
,,,4042,PACCIORETTI T S,13,3,3,4,10,,,,,,6,,39
,,BUS    65,1392,ROCKWELL C,17,6,5,1,1,,,,,,2,,32
,,BUS    72,1393,HUNTER R T,23,4,3,1,5,,1,,,,,,37
,,BUS    79,1394,HUNTER R T,31,,1,,4,1,1,,,,3,,41
,,BUS    80,1395,RODRIGUEZ K P,17,,1,,,,,,,,5,,23
,,BUS    82,1396,EVERETT K M,17,1,2,1,6,1,,,,,2,,30
,,BUS    85,1397,EVERETT K M,14,6,2,2,6,,1,,,,6,,37
,,BUS    87,1398,RODRIGUEZ K P,14,2,1,,1,,,,,,1,,19
,,BUS    901,7001,MIKOLAJCZAK M,,,,,,8,7,,,,,,15
,,BUS    902,7002,MIKOLAJCZAK M,,,,,,9,10,,,,1,,20
,,BUS    911,7003,MUMBA A I,,,,,,8,2,,,,5,,15
,,BUS    912,7004,MUMBA A I,,,,,,7,,,,,2,,9
,COUNS,COUNS  47,1736,LU M,10,2,,1,1,,,,,,1,,15
,,,1737,LU M,4,3,2,1,1,,,,,,3,,14
,,,1738,RESNICK W J,12,3,1,,,1,,,,,2,,19

,,,1739,RESNICK W J,6,3,1,1,1,1,,,,,1,,14
,,,1740,RESNICK W J,8,2,2,,2,,,,,,2,,16
Communications and Media Studies,BUS,BUS    29,4035,ADELMAN A,4,7,,,2,,,,,,,,13 
,,BUS    33,4036,ADELMAN A,3,4,,,,,,1,,,1,,9
,COM ST,COM ST  9,1500,SMITH H A,,4,8,4,,,,,,,10,,26
,,,1501,SMITH H A,2,8,6,3,1,,,,,,6,,26
,,,1502,SMITH H A,,7,2,2,,,,,,,7,,18
,,,1503,FOX N M,6,13,5,1,1,,2,,,,1,,29
,,COM ST 11,1504,MARTIN B S,12,2,5,1,1,,,,,,5,,26
,,,1505,OGATA D K,29,2,,,,,,1,,,2,,34
,,,1506,MARTIN B S,12,5,5,,,,,,,,7,,29
,,,1507,HUBBLE B,14,1,3,,10,,,,,,2,,30
,,,1508,WHIDDEN A R,16,6,3,,2,,,,,,5,,32
,,,1509,SADEGHI-TABRIZI F,9,5,7,,2,,,,,,3,,26
,,,1510,BROWN N A,15,6,4,,1,,,,,,3,,29
,,,1511,HUBBLE B,16,2,1,,8,,,,,,,,27
,,,1512,SUNG M,6,12,4,2,1,2,,,,,5,,32
,,,1513,SADEGHI-TABRIZI F,1,1,6,1,7,,1,,,,11,,28
,,,1514,WHIDDEN A R,16,7,4,,1,,,,,,2,,30
,,,1515,OGATA D K,21,5,,,1,,,3,,,8,,38
,,,1516,SUNG M,6,10,,1,3,,,,,,4,,24
,,,1517,BROWN N A,6,10,3,,,1,,,,,4,,24
,,,1518,PRESTON B L,25,3,,,,,,,,,2,,30
,,,1519,SMITH H A,1,6,6,2,,,,,,,10,,25
,,,1520,SMITH H A,,7,3,1,,,,,,,13,,24
,,,1521,ANDRADE L M,15,8,1,,1,,1,,,,2,,28
,,,1522,JUNIUS J A,7,11,1,,1,,1,,,,2,,23
,,,1523,HOWARD B,4,7,8,1,4,,,,,,3,,27
,,,1524,HOWARD B,6,9,4,1,1,,,,,,5,,26
,,,1525,HOWARD B,11,8,1,,4,,,,,,4,,28
,,,1526,FOX N M,10,1,5,1,5,,,,,,10,,32
,,,1527,FARSCHMAN K V,19,3,1,1,4,,,,,,6,,34
,,,1528,FARSCHMAN K V,16,3,3,1,2,,,,,,7,,32
,,,1529,ANDRADE L M,15,5,1,3,1,,1,,,,5,,31

,,,1530,JUNIUS J A,3,5,6,,6,,,,,,4,,24
,,,1531,HOWARD D B,17,5,1,1,5,,,,,,,,29
,,,1532,HOWARD D B,8,8,3,2,3,,1,,,,3,,28
,,,1533,FOX N M,7,11,3,2,4,,1,,,,4,,32
,,,1534,HOWARD D B,10,12,1,,,,,,,,7,,30
,,,1535,KAIMIKAUA-GREEN C,8,3,1,,3,,,,,,13,,28
,,,1536,FOX N M,3,7,8,1,2,,1,,,,9,1,32
,,,1537,FOX N M,4,6,2,,7,,,,,,10,,29
,,,1538,FARSCHMAN K V,22,3,3,1,2,,,,,,3,,34
,,,1539,JUNIUS J A,8,6,3,1,7,,,,,,6,,31
,,,1540,TREMEAU CHEKROU,11,6,6,2,5,,,,,,1,,31
,,,1541,TREMEAU CHEKROU,9,8,4,3,2,,,1,,,5,,32
,,,1542,MELAMED N,15,6,4,,4,,1,,,,,,30
,,,1543,BERMUDEZ JR N A,16,6,,,2,,,,,,7,,31
,,,1544,BERMUDEZ JR N A,12,3,,,6,,,,,,8,,29
,,,1545,PRESTON B L,20,,,,,,,,,,5,,25
,,,1546,BROWN N A,9,5,5,,,,,,,,4,,23
